strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
Raji_NC_007605_2018-08-13	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	NC_007605	2018-08-13	?	?	?	BioProject: PRJNA485481	de et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_007605	Updated Epstein-Barr virus (EBV) DNA sequence and analysis of a	J. Gen. Virol. 84 (PT 6), 1443-1450 (2003)	https://pubmed.ncbi.nlm.nih.gov/12771413
CJ0149_NC_004367_2018-08-13	callitrichine gammaherpesvirus 3	EBV_gp42	Common marmoset	NC_004367	2018-08-13	?	?	?	BioProject: PRJNA485481	Rivailler et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_004367	Complete genomic sequence of an Epstein-Barr virus-related	J. Virol. 76 (23), 12055-12068 (2002)	https://pubmed.ncbi.nlm.nih.gov/12414947
Necker-7_MT648648_2022-02-11	Human gammaherpesvirus 4	EBV_gp42	?	MT648648	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648648	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-9_MT648650_2022-02-11	Human gammaherpesvirus 4	EBV_gp42	?	MT648650	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648650	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-10_MT648651_2022-02-11	Human gammaherpesvirus 4	EBV_gp42	?	MT648651	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648651	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-12_MT648653_2022-02-11	Human gammaherpesvirus 4	EBV_gp42	?	MT648653	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648653	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-14_MT648655_2022-02-11	Human gammaherpesvirus 4	EBV_gp42	?	MT648655	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648655	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
sLCL-T2-27_LC573550_2020-08-19	Human gammaherpesvirus 4	EBV_gp42	?	LC573550	2020-08-19	?	?	?	?	Kanda et al	https://www.ncbi.nlm.nih.gov/nuccore/LC573550	Japanese Tonsil-derived Epstein-Barr virus strains	Unpublished	?
sLCL-T12-11_LC573555_2020-08-19	Human gammaherpesvirus 4	EBV_gp42	?	LC573555	2020-08-19	?	?	?	?	Kanda et al	https://www.ncbi.nlm.nih.gov/nuccore/LC573555	Japanese Tonsil-derived Epstein-Barr virus strains	Unpublished	?
ARL2_MH837520_2019-05-05	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MH837520	2019-05-05	France	Europe	France	?	Bahri et al	https://www.ncbi.nlm.nih.gov/nuccore/MH837520	Epstein-Barr virus is mostly latent and clonal in	Unpublished	?
BLT001_MK540241_2013-10-21	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540241	2013-10-21	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540241	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
GCT001_MK540244_2013-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540244	2013-XX-XX	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540244	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
HS011_MK540269_2011-03-02	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540269	2011-03-02	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540269	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
