strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
HG52_NC_001798_2016-05-16	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	NC_001798	2016-05-16	United Kingdom	Europe	United Kingdom	BioProject: PRJNA15218	Davison et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_001798	Evolution of sexually-transmitted and -transmissible human	Unpublished	?
17_NC_001806_2018-08-13	Human alphaherpesvirus 1	HSV2_gL	?	NC_001806	2018-08-13	United Kingdom: Regional Virus Laboratory,	Europe	United Kingdom	BioProject: PRJNA485481	Davison et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_001806	Evolution of sexually transmitted and sexually transmissible human	Ann. N. Y. Acad. Sci. 1230, E37-E49 (2011)	https://pubmed.ncbi.nlm.nih.gov/22417106
135_PP099983_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP099983	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099983	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
123_PP099987_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP099987	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099987	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
125_PP099989_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP099989	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099989	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
127_PP099991_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP099991	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099991	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
116_PP100001_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100001	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100001	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
104_PP100014_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100014	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100014	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
105_PP100018_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100018	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100018	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
85_PP100028_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100028	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100028	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
99_PP100040_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100040	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100040	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
55_PP100047_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100047	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100047	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
35_PP100080_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100080	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100080	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
14_PP100089_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100089	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100089	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
12_PP100091_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100091	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100091	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
8_PP100103_2024-06-10	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	PP100103	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100103	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
2020-3450AC_MT461027_2018-03-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MT461027	2018-03-XX	USA	North America	USA	?	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MT461027	Direct Submission	Submitted (12-MAY-2020) Laboratory Medicine, University of	?
CT_9_MT364888_2020-08-23	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MT364888	2020-08-23	?	?	?	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/MT364888	Herpes Simplex Virus Mistyping due to HSV-1 x HSV-2 Interspecies	Viruses 12 (8), E860 (2020)	https://pubmed.ncbi.nlm.nih.gov/32781734
2018-3119_MH790551_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790551	2006-XX-XX	Senegal	Africa	Senegal	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790551	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2005-14172_MH790553_2005-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790553	2005-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790553	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-38237_MH790567_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790567	2006-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790567	HSV2 whole genome sequences from clinical isolates	Unpublished	?
1998-7832_MH790572_1998-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790572	1998-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790572	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2013-37246_MH790601_2013-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790601	2013-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790601	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2011-16336_MH790605_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790605	2011-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790605	HSV2 whole genome sequences from clinical isolates	Unpublished	?
